Title,Location,Company,Salary,Date,Description
Membership Developer,"Oakville, ON",Building Reports Canada,NaN,1 day ago,"Membership DeveloperAbout Us:Building Reports Canada (BRC) provides tools to complete legally required fire & life safety inspections via mobile app and the web rather than traditional means such as Excel or paper. BRC has operated as a software, based service company for over 15 years. The mobile app prompts inspectors/technicians to enter relevant information in an efficient manner to ensure they can focus on the inspection/repair rather than administrative responsibilities. The results of inspections are instantly available via web portals to meet required codes and standards. Members include service companies performing inspections and building owners/operators liable for code compliance.About You:You want to be passionate and excited about where you work and what you offer.You love the chase and excel at closing the deal. You definitely understand the short and long game.You keep amazing records of your activities and manage schedules with ease.You don’t mind traveling, when necessary, in a territory that includes coast to coast Canada.You understand how to run an engaging Web session.You understand targets and strive to exceed them.You demonstrate a proactive, entrepreneurial spirit and mindset.The perfect Membership Developer understands the importance of building trust and developing relationships.Skills required:- Documented successful Business-to-Business sales experience while meeting/exceeding monthly sales targets.- Software as service sales experience and/or fire and life safety industry experience required.- Willingness to engage in effective sales activities (cold calling, networking initiatives, sales funnel/pipeline management, appointment setting, etc.) in addition to responding to sales inquiries.- Ability to work independently and provide a professional rapport while engaging prospects in meaningful dialog about issues they are trying to solve with confidence.- Interest and ability to develop working relationships with potential members to build trust and represent BRC.- Outstanding Oral and Written English.Expectations:The chosen new team member will:- Complete sales prospecting,- Play a critical role in driving new memberships,- Meet or exceed preset new member targets,- Perform online presentations and product demonstrations,- Participate in trade shows and in-person sales opportunities,- Work independently,- Provide marketing support,- Grow both themselves and the role itself.Compensation:Full-time Employment with Base salary and commission, health and dental benefits.Job Types: Full-time, PermanentExperience:Fire & Life Safety : 1 year (Preferred)software as service sales: 1 year (Preferred)"
Software Developer,"Waterloo, ON",Systematix Inc.,NaN,8 days ago,"Software DeveloperHome of Innovation, Reliability and Integrity!:Systematix is seeking an experienced Software Developer to join our innovative team. Your enthusiasm for bringing machines to life through inventive and effective programming is what makes you tick. You enjoy troubleshooting and unravelling the most challenging of puzzles and dilemmas. Your hands-on approach sets you apart from your colleagues.As a Software Developer at Systematix, your creativity and attention to detail enable you to develop complete and customized database and PC programming. Our accomplished team shares a passion for finding new ways of doing things and thrives on working together to solve problems. For 30 years, our three core values of Innovation, Reliability and Integrity have been the foundation for all the sophisticated automation projects we create. Come share your positive attitude and superior work ethic at Systematix.As a Systematix Software Developer, you will:Develop software that meets customer requirements, company and department standards and project-specific designsImprove operations by conducting systems analysis, recommending changes in policy and proceduresWork with the build team to provide technical guidance to meet project specificationsProduce detailed specification and write software codeTest software in controlled, real situations before going livePrepare training materials for end-usersMaintain internal systems and provide customer support for systemsTo excel and enjoy this job, you will need to have:Post-Secondary education in Information Technology or a related disciplineStrong, attention to detail, problem-solving and organizational skillsDatabase design and implementationProgramming using C++, VB, C# (.Net Framework), HTML, JavaScript, CSSExperience with SQL, PHP, Linux Shell, PowerShell and VMware (for test servers) will be a plusEffective in time management with the ability to prioritizeTechnical aptitude with the capacity to understand various aspects of automated machinerySome knowledge and practical experience in the following areas: programming PLCs and HMIs, Vision Systems, Industrial Networks, Machine SafetyResourceful with sound analytical skillsThe ability to work independently and collaboratively as part of a teamAbility to travel to international customer sites; have a valid passportA Rewarding Experience at SystematixIn recognition of your knowledge, skills and experience, Systematix offers a comprehensive compensation package that includes:FlextimeCompetitive salaryExcellent extended health benefits coveragePension planProfit-sharingService AwardsEmployee events and wellness initiativesHow to JoinIf this sounds like your next exciting career move and you would like to join the Systematix family, please submit your resume below.Systematix is an equal opportunity employer and is committed to promoting accessible recruitment. If you require accommodation for a disability, we will support you throughout all stages of the recruitment process."
Angular CSS Developer,"Toronto, ON",Vyana,NaN,30+ days ago,"Vyana is a fast-growing software development consultancy with over 60 developers based out of downtown Toronto. We provide world class expertise and talent to enterprise level organizations with innovative solutions built on leading software technologies and industry proven development standards. We have a 100% client satisfaction rate. As one long-term, satisfied customer said, “My decision to keep working with Vyana was based on their extensive experience, profound professionalism, commitment to excellence, trustworthiness, and consistent beyond-expectations work ethic.”We are a fast-paced, multi-disciplinary, solutions oriented agile work environment. We employ the brightest minds in the GTA to work together as a team in creating solutions for our clients that directly impact their growth strategies. Our business casual working environment reflects our passions and expertise. Our centrally located downtown offices are inside of a large, naturally lit, open concept space with a well-stocked kitchen of fruits and refreshments.RoleIn this role you will use HTML and CSS / SASS to build the visual components and layout of the application, within an Angular framework. Some knowledge of Angular, especially Material Components, is beneficial.Requirements:- Strong knowledge of best practices relating to front-end web design, CSS3 and HTML5.- JavaScript and/or typescript knowledge.- Experience matching web apps to design specs. To be able to design and recreate it pixel by pixel without missing any details- Comfortable implementing responsive web design using flex-box, media queries and other popular tools.- Familiar with CSS specificity, SASS, DRY code principal, version control (GitHub or Azure), Chrome DevTools, Agile methodology.- Confidence to suggest solutions and question convention.Good to have:- Experience with Angular, specifically designing re-useable and configurable components- Unit testing with Jasmine and Karma- Desire for continuous learningWe are an equal opportunity employer. Only candidates selected for the interview will be contacted.All the best.Job Types: Full-time, ContractExperience:software development: 1 year (Preferred)"
Experienced WordPress Developer,"Windsor, ON",Splice Digital,"$55,000 - $75,000 a year",30+ days ago,"Come join one of Windsor's most innovative development companies, helping build WordPress CMS powered websites for leading brands.We offer great employee benefits like delicious home-cooked lunch served daily, in-office massage, flexible hours, occasional work-at-home days and a great health plan.We are looking for skilled and experienced WordPress developers who are familiar with PHP in general and WordPress development specifically, creating custom from-scratch themes, plugins, WordPress API, and overall best practices.---Real-practical WordPress theme development is the biggest factor, so please only apply for this position if you are highly skilled at creating from-scratch HTML/CSS WordPress themes.---Front-End WordPress:HTML5/CSS/SASSBootstrapStrong understanding of responsive techniquesGood eye for design / padding / alignmentAble to turn a PSD comp into pixel-precise responsive WordPress Themes from-scratch or using a base theme.Back-End WordPress:Good understanding of PHP in generalArchitect and implement custom post types and taxonomiesFull understanding of WordPress architecture and capabilities, and able to plan and architect projects to meet client content management requirementsGood understanding of WordPress APIExperience with a GIT workflowAll applicants must posses the following soft-skills:Strong communication skills. Must be able to understand and be understood.Great work ethic. Able to do what it takes to get the job done.Budget minded. You must be sensitive to time allocated to each taskCome visit us at: https://www.splicedigital.comKeywords: wordpress developer, wordpress programmer, wordpress themes, wordpress coderJob Type: Full-timeSalary: $55,000.00 to $75,000.00 /yearExperience:WordPress: 2 years (Required)Web Development: 3 years (Preferred)Location:Windsor, ON (Preferred)"
Mobile developer,"Brantford, ON",itech,"$65,000 a year",3 days ago,"We are looking for an Android/IOS developer to be part of a new innovative solution. The successful candidate will be part of the team responsible for the design, development and maintenance of our mobile applications as well as interaction with existing back-end functionality. Commitment to collaborative problem solving, design and creating a quality product is essential.ResponsibilitiesCollaborate on Design, author and manage code through the life cycle of the application.Troubleshoot and debug applications to ensure best performance and responsiveness.Report and collaborate with the product team lead to estimate project’s scope and schedule.Skills3+ years experience developing in .Net ASP C#, Android and IOS applicationsHigh skill in multiple programming languages such as SQL, Java, C#, JavascriptStrong knowledge of Android/IOS UI design principles, patterns and best practicesExperience with offline storage and performance tuning.Ability to connect mobile technologies to back-end web services.Good knowledge of OOP design principlesFamiliarity with gyroscopes, accelerometers and push notifications an assetProficient understanding of code versioning toolsFirebase and Application publicationsGood english, oral, written and presentation skills.Job Type: Full-timeSalary: $65,000.00 /yearLanguage:English (Required)"
Javascript Developer,"Toronto, ON",Seen by Indeed,NaN,30+ days ago,
AngularJS Developer,"Toronto, ON",Seen by Indeed,NaN,30+ days ago,
Jr Programmer,"Windsor, ON",Magna International Inc.,NaN,8 days ago,"Group DescriptionMagna is an innovative leader in the development and manufacturing of high quality complete seating systems. Our solution includes seating structures, mechanisms and hardware, as well as foam and trim products for global automotive, heavy truck and bus industries. Our capabilities include market and consumer research; full concept development; design and engineering capabilities; testing, validation and world-class manufacturing. Our award-winning seating solutions are developed from consumer research, finding the ease of operation to be comfortable, convenient and connected. Role SummaryResponsible for programming, development and technical services as directed by IT Manager. Key ResponsibilitiesTimely delivery of assigned tasks and projects on web application development on client service platform (ie-Net, VB,ASP, and Asp Net).Participate in full cycle of application development (i.e analysis, design, development and testing).Give direction to IT Analyst and oversee development of software.Maintain IT data operations in a campus manufacturing facility.Ability to troubleshoot possible bugs and / or area of concern in exsisiting code.Performance reporting of availabity , capacity, fall back and recovery of systems.Ability to work unassisted from technical spec documents.Key Qualifications/RequirementsThree years programming and design experience. Must be able to give direction and assistance to It Analyst and take the lead on projects as directed by the IT Manager. University or college graduate in computer science or equivalent. Experience in multiple software / operating systems. Self starter, team player, good written and oral skills. Ability to interface with users; knowledge of MRP and JIT methods; communication experience with PC Local Area Network, SAP experience an asset Additional InformationAccommodations for disabilities in relation to the job selection process are available upon request.Ability to manage more than one job at a time.Available during scheduled shift and off shifts in the event of any unusual problems .Adherence to all TS 16949 requirements including daily, weekly and yearly procedures.Educate and train employees in software applications and data processing.To cordinate, teach and direct IT Analyst (s).05--Information Technology F--Permanent/Regular"
Software Developer,"Windsor, ON",VALIANT TMS,NaN,13 days ago,"JOB DESCRIPTIONThe position scope includes, but is not limited to:Main responsibility for internal IT Software Development needs. Link between the IT organization and the user community when it comes to software and application development. Responsibility for the operation, maintenance/support and technical and process improvements to locally developed applications and packages.The successful candidate is accountable to:Lead responsibility of specific Internally Developed Applications (SAP UI/Fiori Development, Various Scripts, Internal Website etc),Responsible for managing and administering specific applications including evaluation of user requests for system modifications, planning, developing, configuring, maintaining, supporting, and optimizing user environment within applicationMigrate legacy application into the new environment (SAP Fiori/SAP UI)Maintain and continuously improve existing applications and internal WebsitesResponsible for providing IT solutions to Business problems through regular business process review - identifying opportunities to improve business processes and working with the process owners to develop and implement changes;Lead IT portion of business improvement projects, including planning and project managing projects from the IT sideJOB REQUIREMENTSA Post-Secondary degree or diploma in Computer Science, Information Technology or related field;Minimum 2-3 Years’ experience in requirement gathering & developmentA demonstrated knowledge of programming languages, including Java, Java Script , XMLSAP Fiori/SAP UI and SAP ABAP knowledge would be a considerable asset;A solid working knowledge of current Internet technologies. Knowledge of WordPress would be an asset;Demonstrated leadership and the ability to co-ordinate teams across cross-functional disciplines – This is absolutely useful during requirement and specification gatheringLogical, Analytical and problem-solving abilities, with keen attention to detailExcellent interpersonal, written and verbal communication skillsExperience working both independently and in a team-oriented, collaborative environment."
Software Developer Summer Intern / Co-op,"Mississauga, ON",Intuit,NaN,4 days ago,"About Intuit, Inc.At Intuit, we get up every morning with our hearts beating fast, driven by the knowledge that we're transforming the world of consumer and small business finance. We’re obsessed with our customers. Because of this, we’re continually challenging and disrupting ourselves, to improve their financial lives. It’s why our products — TurboTax, Mint and QuickBooks — continue to resonate with 50 million consumers around the globe. We are a Fortune 500 fintech company, ranked as the #1 Best Workplace in Canada in 2019.About the OpportunityAt Intuit, we believe that student hires are the next generation of tech entrepreneurs. Our internship program is focused on identifying these high-potential university students and equipping them with the tools they need to succeed in the tech industry.About the TeamWe have several roles available in our TurboTax.ca Team, TurboTax Online Platforms Team, Mobile Team and Customer Care Team. We’re looking for a candidate who is passionate about writing high-quality software, a creative problem solver, and an advocate of beautiful and seamless customer experiences.Sound interesting? Hear what our Fall 2019 co-op had to say about their time with us:“In a word, this job was impactful, to real users (my code gets shipped to production every two weeks).The work feels valuable, especially when my boss talks about how it impacts the end users and the company at large, the work feels like an important part of something bigger”"
